UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN
133960,23,6,1,1,R,460,R,249,R,211,R,3,R,2,R,1,R,2,R,1,R,1,R,41,R,23,R,18,R,139,R,61,R,78,R,1,R,1,R,0,R,221,R,128,R,93,R,15,R,10,R,5,R,29,R,20,R,9,R,9,R,3,R,6,A,,A,,A,,A,
133960,24,1,1,1,R,142,R,62,R,80,R,2,R,1,R,1,R,1,R,1,R,0,R,13,R,4,R,9,R,43,R,15,R,28,R,0,R,0,R,0,R,66,R,32,R,34,R,3,R,1,R,2,R,9,R,8,R,1,R,5,R,0,R,5,A,,A,,A,,A,
133960,25,99,1,1,R,318,R,187,R,131,R,1,R,1,R,0,R,1,R,0,R,1,R,28,R,19,R,9,R,96,R,46,R,50,R,1,R,1,R,0,R,155,R,96,R,59,R,12,R,9,R,3,R,20,R,12,R,8,R,4,R,3,R,1,A,,A,,A,,A,
133960,31,7,1,1,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
133960,39,2,1,1,R,58,R,31,R,27,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,2,R,1,R,11,R,8,R,3,R,0,R,0,R,0,R,38,R,21,R,17,R,1,R,0,R,1,R,5,R,0,R,5,R,0,R,0,R,0,A,,A,,A,,A,
133960,40,3,1,1,R,260,R,156,R,104,R,1,R,1,R,0,R,1,R,0,R,1,R,25,R,17,R,8,R,85,R,38,R,47,R,1,R,1,R,0,R,117,R,75,R,42,R,11,R,9,R,2,R,15,R,12,R,3,R,4,R,3,R,1,A,,A,,A,,A,
133960,41,28,2,4,R,564,R,211,R,353,R,0,R,0,R,0,R,9,R,2,R,7,R,70,R,23,R,47,R,222,R,85,R,137,R,1,R,0,R,1,R,213,R,79,R,134,R,9,R,4,R,5,R,29,R,12,R,17,R,11,R,6,R,5,A,,A,,A,,A,
133960,42,22,2,1,R,564,R,211,R,353,R,0,R,0,R,0,R,9,R,2,R,7,R,70,R,23,R,47,R,222,R,85,R,137,R,1,R,0,R,1,R,213,R,79,R,134,R,9,R,4,R,5,R,29,R,12,R,17,R,11,R,6,R,5,A,,A,,A,,A,
133960,43,20,2,1,R,552,R,204,R,348,R,0,R,0,R,0,R,9,R,2,R,7,R,69,R,22,R,47,R,220,R,84,R,136,R,1,R,0,R,1,R,205,R,74,R,131,R,9,R,4,R,5,R,28,R,12,R,16,R,11,R,6,R,5,A,,A,,A,,A,
133960,44,15,2,1,R,68,R,35,R,33,R,0,R,0,R,0,R,1,R,0,R,1,R,8,R,5,R,3,R,23,R,10,R,13,R,0,R,0,R,0,R,27,R,15,R,12,R,1,R,1,R,0,R,6,R,3,R,3,R,2,R,1,R,1,A,,A,,A,,A,
133960,45,99,2,1,R,484,R,169,R,315,R,0,R,0,R,0,R,8,R,2,R,6,R,61,R,17,R,44,R,197,R,74,R,123,R,1,R,0,R,1,R,178,R,59,R,119,R,8,R,3,R,5,R,22,R,9,R,13,R,9,R,5,R,4,A,,A,,A,,A,
133960,51,21,2,1,R,12,R,7,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,8,R,5,R,3,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,A,,A,,A,,A,
133960,59,16,2,1,R,69,R,28,R,41,R,0,R,0,R,0,R,0,R,0,R,0,R,11,R,3,R,8,R,33,R,14,R,19,R,0,R,0,R,0,R,21,R,8,R,13,R,1,R,1,R,0,R,2,R,1,R,1,R,1,R,1,R,0,A,,A,,A,,A,
133960,60,17,2,1,R,415,R,141,R,274,R,0,R,0,R,0,R,8,R,2,R,6,R,50,R,14,R,36,R,164,R,60,R,104,R,1,R,0,R,1,R,157,R,51,R,106,R,7,R,2,R,5,R,20,R,8,R,12,R,8,R,4,R,4,A,,A,,A,,A,
133979,1,29,3,4,R,1277,R,559,R,718,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1059,R,447,R,612,R,37,R,20,R,17,R,2,Z,0,R,2,R,57,R,35,R,22,R,3,R,1,R,2,R,17,R,6,R,11,R,102,R,50,R,52,R,0,A,,R,0,R,1277
133979,2,99,3,1,R,1206,R,538,R,668,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1004,R,429,R,575,R,35,R,20,R,15,R,2,Z,0,R,2,R,50,R,33,R,17,R,2,Z,0,R,2,R,16,R,6,R,10,R,97,R,50,R,47,R,0,A,,R,0,R,1206
133979,3,99,3,1,R,1183,R,523,R,660,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,984,R,416,R,568,R,32,R,18,R,14,R,2,Z,0,R,2,R,50,R,33,R,17,R,2,Z,0,R,2,R,16,R,6,R,10,R,97,R,50,R,47,A,,A,,A,,A,
133979,4,99,3,1,R,371,R,134,R,237,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,347,R,122,R,225,R,7,R,2,R,5,Z,0,Z,0,Z,0,R,12,R,9,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,1,R,4,A,,A,,A,,A,
133979,5,99,3,1,R,812,R,389,R,423,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,637,R,294,R,343,R,25,R,16,R,9,R,2,Z,0,R,2,R,38,R,24,R,14,R,2,Z,0,R,2,R,16,R,6,R,10,R,92,R,49,R,43,A,,A,,A,,A,
